"crisis","semilla","rand_ajustado","wss_semilla","wss_analisis","particion_igual"
"covid",1,1,32.611,32.611,TRUE
"covid",7,1,32.611,32.611,TRUE
"covid",42,1,32.611,32.611,TRUE
"covid",99,1,32.611,32.611,TRUE
"covid",777,1,32.611,32.611,TRUE
"covid",2020,1,32.611,32.611,TRUE
"covid",2024,1,32.611,32.611,TRUE
"covid",55555,1,32.611,32.611,TRUE
"covid",808,1,32.611,32.611,TRUE
"covid",31416,1,32.611,32.611,TRUE
"crisis2008",1,1,29.721,29.721,TRUE
"crisis2008",7,1,29.721,29.721,TRUE
"crisis2008",42,1,29.721,29.721,TRUE
"crisis2008",99,1,29.721,29.721,TRUE
"crisis2008",777,1,29.721,29.721,TRUE
"crisis2008",2020,1,29.721,29.721,TRUE
"crisis2008",2024,1,29.721,29.721,TRUE
"crisis2008",55555,1,29.721,29.721,TRUE
"crisis2008",808,1,29.721,29.721,TRUE
"crisis2008",31416,1,29.721,29.721,TRUE
"crisis2022",1,1,30.063,30.063,TRUE
"crisis2022",7,1,30.063,30.063,TRUE
"crisis2022",42,1,30.063,30.063,TRUE
"crisis2022",99,1,30.063,30.063,TRUE
"crisis2022",777,1,30.063,30.063,TRUE
"crisis2022",2020,1,30.063,30.063,TRUE
"crisis2022",2024,1,30.063,30.063,TRUE
"crisis2022",55555,1,30.063,30.063,TRUE
"crisis2022",808,1,30.063,30.063,TRUE
"crisis2022",31416,1,30.063,30.063,TRUE
